vendor_id,vendor_name,country
243,Vendor 243,IN
244,Vendor 244,IN
245,Vendor 245,JP
246,Vendor 246,IN
247,Vendor 247,IN
248, Vendor 248 ,US
249,Vendor 249,US
250,Vendor 250,IN
251,Vendor 251,CN
252,Vendor 252,IN
253,Vendor 253,CN
254,Vendor 254,GB
255,Vendor  255,IN
256,Vendor 256,IN
257,Vendor 257,US
258,Vendor 258,DE
259,Vendor 259,IN
260, Vendor 260 ,JP
261, Vendor 261 ,AE
262,Vendor 262,CN
263,Vendor 263,CN
264,Vendor 264,IN
265,Vendor 265,CN
266,Vendor 266,GB
267,Vendor 267,IN
268,Vendor 268,IN
269,Vendor 269,GB
270, Vendor 270 ,CN
271,Vendor 271,IN
272,Vendor 272,CN
273, Vendor 273 ,IN
274,Vendor 274,JP
275,Vendor 275,GB
276,Vendor 276,AE
277,Vendor 277,IN
278,Vendor 278,CN
279,Vendor 279,IN
280,Vendor 280,JP
281,Vendor 281,DE
282,Vendor 282,JP
283,Vendor 283,CN
284,Vendor  284,CN
285,Vendor  285,DE
286,Vendor 286,SG
287, Vendor 287 ,DE
288,Vendor 288,US
289,Vendor 289,IN
290,Vendor 290,IN
291,Vendor 291,IN
292, Vendor 292 ,CN
293,Vendor 293,IN
294,Vendor 294,IN
295,Vendor 295,JP
296,Vendor  296,CN
297,Vendor 297,IN
298, Vendor 298 ,IN
299, Vendor 299 ,IN
300,Vendor 300,JP
301,Vendor 301,IN
302, Vendor 302 ,SG
303, Vendor 303 ,GB
304,Vendor  304,IN
305,Vendor 305,JP
306,Vendor  306,SG
307,Vendor 307,IN
308,Vendor 308,CN
309,Vendor 309,GB
310,Vendor 310,IN
311,Vendor 311,IN
312,Vendor 312,CN
313,Vendor 313,IN
314,Vendor 314,CN
315,Vendor 315,CN
316,Vendor 316,CN
317, Vendor 317 ,GB
318,Vendor 318,JP
319,Vendor 319,DE
320,Vendor 320,JP
321,Vendor 321,IN
322,Vendor 322,IN
323, Vendor 323 ,US
324,Vendor 324,GB
325,Vendor 325,SG
326,Vendor 326,CN
327,Vendor 327,IN
328,Vendor 328,US
329,Vendor  329,DE
330,Vendor 330,US
331,Vendor 331,IN
332, Vendor 332 ,CN
333,Vendor 333,IN
334,Vendor 334,SG
335,Vendor 335,IN
336,Vendor  336,IN
337,Vendor 337,IN
338,Vendor 338,CN
339,Vendor  339,IN
340, Vendor 340 ,US
341, Vendor 341 ,IN
342,Vendor  342,GB
343,Vendor 343,CN
344,Vendor 344,SG
345,Vendor  345,DE
346,Vendor 346,SG
347,Vendor 347,IN
348,Vendor 348,IN
349,Vendor 349,CN
350, Vendor 350 ,IN
351,Vendor 351,IN
352,Vendor 352,SG
353,Vendor 353,JP
354,Vendor 354,GB
355,Vendor  355,JP
356,Vendor 356,IN
357,Vendor 357,GB
358,Vendor 358,IN
359, Vendor 359 ,IN
360,Vendor 360,IN
361,Vendor 361,DE
362,Vendor 362,IN
363,Vendor 363,IN
364, Vendor 364 ,SG
365,Vendor 365,US
366,Vendor 366,CN
367,Vendor 367,IN
368,Vendor 368,IN
369,Vendor 369,US
370,Vendor  370,CN
371,Vendor 371,IN
372,Vendor 372,IN
373,Vendor 373,IN
374,Vendor 374,IN
375, Vendor 375 ,US
376,Vendor 376,US
377,Vendor 377,DE
378,Vendor 378,IN
379, Vendor 379 ,IN
380,Vendor 380,US
381,Vendor 381,JP
382,Vendor 382,GB
383, Vendor 383 ,US
384,Vendor  384,IN
385, Vendor 385 ,IN
386, Vendor 386 ,IN
387,Vendor 387,IN
388,Vendor 388,DE
389,Vendor 389,CN
390,Vendor 390,CN
391, Vendor 391 ,IN
392,Vendor 392,JP
393,Vendor 393,IN
394,Vendor 394,IN
395, Vendor 395 ,IN
396,Vendor 396,IN
397,Vendor 397,US
398,Vendor 398,IN
399,Vendor 399,IN
400,Vendor 400,AE
401,Vendor 401,IN
402, Vendor 402 ,AE
403,Vendor  403,CN
404,Vendor 404,DE
405,Vendor 405,SG
406,Vendor 406,GB
407,Vendor 407,IN
408,Vendor 408,CN
409, Vendor 409 ,US
410,Vendor 410,DE
411, Vendor 411 ,IN
412,Vendor 412,CN
413,Vendor 413,IN
414,Vendor 414,SG
415,Vendor 415,US
416,Vendor 416,CN
417, Vendor 417 ,CN
418,Vendor 418,AE
419,Vendor  419,SG
420,Vendor 420,DE
421,Vendor 421,DE
422,Vendor 422,IN
423, Vendor 423 ,AE
424, Vendor 424 ,IN
425,Vendor 425,IN
426,Vendor 426,IN
427, Vendor 427 ,JP
428,Vendor 428,IN
429,Vendor  429,CN
430, Vendor 430 ,DE
431,Vendor 431,IN
432,Vendor 432,SG
433,Vendor 433,IN
434,Vendor  434,IN
435,Vendor 435,CN
436,Vendor 436,JP
437,Vendor 437,CN
438,Vendor 438,IN
439, Vendor 439 ,IN
440,Vendor 440,IN
441,Vendor 441,IN
442,Vendor 442,CN
443,Vendor 443,IN
444,Vendor 444,JP
445,Vendor  445,JP
446,Vendor 446,CN
447,Vendor 447,DE
448,Vendor  448,DE
449,Vendor  449,IN
450,Vendor 450,DE
451,Vendor 451,DE
452,Vendor 452,US
453, Vendor 453 ,IN
454,Vendor 454,CN
455, Vendor 455 ,IN
456,Vendor 456,IN
457,Vendor 457,JP
458, Vendor 458 ,CN
459,Vendor 459,SG
460, Vendor 460 ,IN
461,Vendor 461,US
462,Vendor 462,IN
463,Vendor 463,US
464,Vendor 464,IN
465,Vendor 465,IN
466,Vendor 466,IN
467,Vendor 467,JP
468,Vendor 468,US
469, Vendor 469 ,CN
470,Vendor  470,IN
471,Vendor 471,SG
472,Vendor 472,IN
473,Vendor  473,DE
474,Vendor 474,IN
475,Vendor 475,JP
476,Vendor 476,DE
477,Vendor 477,US
478,Vendor 478,IN
479,Vendor 479,CN
480,Vendor 480,IN
481,Vendor 481,IN
482,Vendor 482,IN
483,Vendor 483,IN
484,Vendor 484,IN
485,Vendor 485,JP
486,Vendor 486,IN
487,Vendor 487,IN
488, Vendor 488 ,SG
489,Vendor 489,CN
490,Vendor 490,US
491,Vendor 491,CN
492,Vendor 492,IN
493,Vendor 493,JP
494,Vendor 494,IN
495,Vendor 495,CN
496,Vendor  496,JP
497, Vendor 497 ,JP
498,Vendor 498,GB
499,Vendor 499,CN
500,Vendor  500,IN
